,word,count
0,"부동산 > 주거시설 > 빌라,연립주택",2477
1,"문화,예술 > 사진 > 사진관,포토스튜디오",1581
2,부동산 > 부동산서비스 > 부동산중개업소,1357
3,부동산 > 빌딩,1241
4,"가정,생활 > 미용 > 미용실",1179
5,음식점 > 카페,1080
6,"가정,생활 > 반려동물 > 동물병원",1061
7,"교통,수송 > 교통시설 > 주차장",837
8,부동산 > 주거시설 > 아파트,829
9,"스포츠,레저 > 스포츠시설 > 헬스클럽",600
10,"문화,예술 > 음악",583
11,"가정,생활 > 반려동물",545
12,"서비스,산업 > 마케팅 > 광고제작",542
13,"가정,생활 > 미용",507
14,"음식점 > 한식 > 육류,고기",505
15,"음식점 > 간식 > 제과,베이커리",474
16,"가정,생활 > 세탁소",459
17,"가정,생활 > 꽃집,꽃배달",429
18,"사회,공공기관 > 단체,협회",419
19,"교육,학문 > 학원 > 미술학원",411
20,"교통,수송 > 자동차 > 전기자동차 충전소",409
21,"서비스,산업 > 기업",407
22,"의료,건강 > 병원 > 한방병원 > 한의원",405
23,"서비스,산업 > 인터넷,IT > 소프트웨어",400
24,"서비스,산업 > 인터넷,IT",393
25,"가정,생활 > 상가,아케이드",363
26,"가정,생활 > 여가시설 > 노래방",359
27,"문화,예술 > 음악 > 녹음실",351
28,"교육,학문 > 학원 > 음악학원",347
29,"교육,학문 > 유아교육 > 어린이집",346
30,"가정,생활 > 생활용품점 > 침구판매",346
31,음식점 > 카페 > 테마카페 > 애견카페,343
32,"가정,생활 > 미용 > 메이크업",333
33,"금융,보험 > 금융서비스 > 보험사 > 생명보험 > 삼성생명",318
34,"문화,예술 > 연예기획사",317
35,"음식점 > 한식 > 해물,생선",306
36,"의료,건강 > 병원 > 내과",306
37,"가정,생활 > 결혼 > 웨딩스튜디오",303
38,음식점 > 한식,301
39,"가정,생활 > 편의점 > GS25",294
40,"서비스,산업 > 건설,건축 > 인테리어",293
41,"가정,생활 > 편의점 > CU",277
42,"의료,건강 > 병원 > 치과",276
43,음식점 > 카페 > 테마카페 > 디저트카페,273
44,음식점 > 양식 > 햄버거,273
45,부동산 > 주거시설 > 오피스텔,270
46,"금융,보험 > 금융서비스 > 은행 > ATM",268
47,"스포츠,레저 > 스포츠용품 > 스키,보드용품",260
48,음식점 > 치킨,259
49,"서비스,산업 > 법률,행정 > 변리사",258
50,음식점 > 카페 > 커피전문점,254
51,"서비스,산업 > 제조업 > 가구",251
52,"서비스,산업 > 인터넷,IT > 홈페이지제작",240
53,"가정,생활 > 패션 > 의류대여서비스",235
54,부동산 > 부동산서비스,226
55,음식점 > 한식 > 국수 > 칼국수,204
56,"의료,건강 > 약국",198
57,음식점 > 분식,196
58,"가정,생활 > 패션 > 의류판매",192
59,음식점 > 분식 > 떡볶이 > 할머니가래떡볶이,186
60,"가정,생활 > 편의점 > 세븐일레븐",172
61,"서비스,산업 > 제조업 > 화학",166
62,"서비스,산업 > 전문대행 > 컨설팅",165
63,음식점 > 양식,164
64,"교통,수송 > 입출구",163
65,음식점 > 카페 > 커피전문점 > 스타벅스,153
66,"음식점 > 술집 > 호프,요리주점",144
67,음식점 > 중식 > 중국요리,141
68,음식점 > 술집,140
69,"서비스,산업 > 건설,건축 > 시공업체",136
70,"가정,생활 > 미용 > 피부관리",136
71,"가정,생활 > 미용 > 네일샵",134
72,"교육,학문 > 학원",134
73,"문화,예술 > 종교 > 기독교 > 교회",133
74,음식점 > 술집 > 일본식주점,131
75,"가정,생활 > 상가,아케이드 > 아파트상가",127
76,"가정,생활 > 반려동물 > 반려동물용품",127
77,"가정,생활 > 생활용품점 > 다이소",124
78,"가정,생활 > 화장실",120
79,"서비스,산업 > 전문대행 > 공간대여",120
80,"금융,보험 > 금융서비스 > 은행 > KB국민은행",117
81,"문화,예술 > 도서 > 출판사",115
82,"금융,보험 > 금융서비스",115
83,"금융,보험 > 금융서비스 > 은행 > 하나은행",115
84,"서비스,산업 > 무역업,중개업",111
